,Statistic,P-value
Accuracy,38.08000000000001,1.0787747724399687e-07
F1 Score,38.08000000000001,1.0787747724399687e-07
Recall,38.56,8.587570977070384e-08
ACSA,38.0,1.1205592875074531e-07
